發生時間,發生地點,postcode,死亡受傷人數,車種,經度,緯度
108年03月12日 17時27分00秒,臺北市萬華區西園路2段 / 臺北市萬華區西藏路,108,死亡0;受傷1,普通重型-機車;自用-小客車,121.495456,25.028695000000003
108年03月12日 17時30分00秒,臺北市文山區木柵路3段 / 臺北市文山區木柵路3段,116,死亡0;受傷1,腳踏自行車-慢車;普通重型-機車,121.56701100000001,24.988638
108年03月12日 18時10分00秒,臺北市內湖區內湖路1段120巷前0.0公尺,114,死亡0;受傷1,普通重型-機車;自用-小客車,121.56339399999999,25.08297
108年03月12日 18時30分00秒,臺北市萬華區中興橋往新北市前0.0公尺,108,死亡0;受傷1,普通重型-機車;普通重型-機車,121.50263600000001,25.045642
108年03月12日 18時34分00秒,臺北市萬華區桂林路 / 臺北市萬華區桂林路水門口,108,死亡0;受傷1,普通重型-機車;普通重型-機車,121.49826499999999,25.040439000000003
108年03月12日 18時47分00秒,臺北市大同區哈密街 / 臺北市大同區哈密街,103,死亡0;受傷1,自用-小客車;腳踏自行車-慢車,121.51572900000001,25.07454
108年03月12日 18時56分00秒,臺北市文山區興隆路2段 / 臺北市文山區景隆街,116,死亡0;受傷1,自用-小客車;普通重型-機車,121.544408,24.998567
108年03月12日 19時15分00秒,臺北市內湖區瑞光路 / 臺北市內湖區瑞光路,114,死亡0;受傷1,自用-小貨車(含客、貨兩用);行人-人,121.5814,25.070003
108年03月12日 19時45分00秒,臺北市南港區忠孝東路6段 / 臺北市南港區東新街,115,死亡0;受傷1,普通重型-機車;普通重型-機車,121.585182,25.047979
108年03月12日 19時52分00秒,臺北市信義區莊敬路 / 臺北市信義區莊敬路,110,死亡0;受傷1,行人-人;普通重型-機車,121.564994,25.028535
108年03月12日 20時40分00秒,臺北市大同區重慶北路2段 / 臺北市大同區民權西路,103,死亡0;受傷4,行人-人;普通重型-機車;普通重型-機車;乘客-人,121.51370700000001,25.062889000000002
108年03月12日 21時04分00秒,臺北市大安區敦化南路2段113號前0.0公尺,106,死亡0;受傷1,民營公車-大客車;乘客-人,121.54919699999999,25.027786
108年03月12日 21時38分00秒,臺北市北投區大度路2段前0.0公尺,112,死亡0;受傷2,普通重型-機車;普通重型-機車,121.47711000000001,25.122649
108年03月12日 22時10分00秒,臺北市大同區市民高架道前0.0公尺,103,死亡0;受傷3,計程車-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人,121.517597,25.048486999999998
108年03月12日 22時14分00秒,臺北市中山區林森北路 / 臺北市中山區長安東路1段,104,死亡0;受傷1,普通重型-機車;腳踏自行車-慢車,121.52798700000001,25.047863
108年03月12日 22時40分00秒,臺北市南港區南港路2段 / 臺北市南港區南港路2段,115,死亡0;受傷1,電動自行車-慢車;普通重型-機車,121.60263,25.053589000000002
108年03月12日 22時56分00秒,臺北市中正區忠孝東路2段 / 臺北市中正區金山南路1段,100,死亡0;受傷1,計程車-小客車;普通重型-機車,121.529749,25.043114000000003
108年03月12日 23時30分00秒,臺北市北投區承德路7段1號前0.0公尺,112,死亡0;受傷1,普通重型-機車;普通重型-機車,121.51771699999999,25.105601
108年03月13日 02時50分00秒,臺北市萬華區環河南路3段313號前0.0公尺,108,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.49393700000002,25.018144
108年03月13日 06時55分00秒,臺北市信義區信義路5段 / 臺北市信義區莊敬路,110,死亡0;受傷1,計程車-小客車;普通重型-機車,121.56336999999999,25.033078
108年03月13日 07時15分00秒,臺北市文山區興隆路2段88號前0.0公尺,116,死亡0;受傷1,普通重型-機車;自用-小客車;自用-小客車,121.54906299999999,25.000529999999998
108年03月13日 07時18分00秒,臺北市北投區大業路 / 臺北市北投區中央北路1段,112,死亡0;受傷1,自用-小客車;普通重型-機車,121.497227,25.136031
108年03月13日 07時20分00秒,臺北市南港區東新街 / 臺北市南港區福德街,115,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,121.592991,25.040435000000002
108年03月13日 07時44分00秒,臺北市文山區木新路2段129號前0.0公尺,116,死亡0;受傷1,普通重型-機車;普通重型-機車,121.569387,24.984022
108年03月13日 07時46分00秒,臺北市內湖區文德路 / 臺北市內湖區陽光街,114,死亡0;受傷1,普通重型-機車;行人-人,121.58358100000001,25.075854
108年03月13日 07時50分00秒,臺北市南港區南港路1段 / 臺北市南港區興華路,115,死亡0;受傷1,計程車-小客車;普通重型-機車;普通重型-機車,121.60620800000001,25.054267000000003
108年03月13日 07時57分00秒,臺北市信義區光復南路 / 臺北市信義區光復南路,110,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.557648,25.036179999999998
108年03月13日 08時03分00秒,臺北市士林區光華路 / 臺北市士林區國泰街,111,死亡0;受傷1,普通重型-機車;自用-小客車,121.54253100000001,25.136955
108年03月13日 08時04分00秒,臺北市信義區松仁路 / 臺北市信義區松勤街,110,死亡0;受傷1,租賃車-小客車;普通輕型-機車,121.568278,25.031892000000003
108年03月13日 08時55分00秒,臺北市大安區基隆路3段 / 臺北市大安區辛亥路3段,106,死亡0;受傷1,大型重型2(250-550C.C.)-機車;普通重型-機車,121.546846,25.019174
108年03月13日 09時40分00秒,臺北市萬華區寶興街 / 臺北市萬華區寶興街,108,死亡0;受傷1,自用-小客車;普通輕型-機車,121.493122,25.027524
108年03月13日 09時40分00秒,臺北市北投區西安街2段前0.0公尺,112,死亡0;受傷1,自用-小客車;普通重型-機車,121.50270400000001,25.121446
108年03月13日 09時40分00秒,臺北市信義區基隆路1段 / 臺北市信義區信義路5段,110,死亡0;受傷2,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,121.55963700000001,25.032962
108年03月13日 10時20分00秒,臺北市松山區民權東路3段 / 臺北市松山區敦化北路,105,死亡0;受傷1,租賃車-小客車;普通輕型-機車,121.54723700000001,25.060087
108年03月13日 11時00分00秒,臺北市南港區東新街170巷31號前0.0公尺,115,死亡0;受傷1,計程車-小客車;腳踏自行車-慢車,121.59272299999999,25.043681
108年03月13日 11時05分00秒,臺北市南港區南深路前0.0公尺,115,死亡0;受傷2,普通重型-機車;計程車-小客車;乘客-人,121.621252,25.029723
108年03月13日 11時50分00秒,臺北市內湖區東往西行善公園旁,114,死亡0;受傷1,自用-小客車;普通重型-機車,121.576651,25.052149
108年03月13日 11時54分00秒,臺北市內湖區民權東路6段 / 臺北市內湖區舊宗路1段,114,死亡0;受傷1,普通重型-機車;自用-小客車,121.575124,25.065593
108年03月13日 11時55分00秒,臺北市松山區健康路 / 臺北市松山區塔悠路,105,死亡0;受傷1,自用-小客車;普通重型-機車,121.56987600000001,25.054698000000002
108年03月13日 12時02分00秒,臺北市士林區基河路130號前0.0公尺,111,死亡0;受傷1,普通輕型-機車;普通重型-機車,121.523126,25.089235000000002
108年03月13日 12時28分00秒,臺北市南港區市民大道8段前0.0公尺,115,死亡0;受傷1,營業用-大貨車;普通重型-機車,121.59944099999998,25.052117000000003
108年03月13日 12時41分00秒,臺北市大安區敦化南路1段 / 臺北市大安區仁愛路4段,106,死亡0;受傷1,計程車-小客車;普通重型-機車,121.54709799999999,25.038956
108年03月13日 12時52分00秒,臺北市士林區仰德大道3段 / 臺北市士林區永公路,111,死亡0;受傷1,普通重型-機車;自用-小客車;普通重型-機車,121.550031,25.113156
108年03月13日 13時30分00秒,臺北市北投區承德路6段333-3號前0.0公尺,112,死亡0;受傷1,計程車-小客車;乘客-人,121.51005500000001,25.105092000000003
108年03月13日 14時16分00秒,臺北市中正區重慶南路1段 / 臺北市中正區衡陽路,100,死亡0;受傷1,計程車-小客車;普通重型-機車,121.51318700000002,25.042336
108年03月13日 14時40分00秒,臺北市松山區敦化北路222巷前0.0公尺,105,死亡0;受傷1,自用-小客車;普通輕型-機車,121.54904499999999,25.058543
108年03月13日 14時45分00秒,臺北市中山區中山北路2段 / 臺北市中山區南京東路1段,104,死亡0;受傷1,普通重型-機車;普通重型-機車,121.523646,25.052746
108年03月13日 14時50分00秒,臺北市松山區南京東路5段 / 臺北市松山區寶清街,105,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,121.56815700000001,25.051573
108年03月13日 15時32分00秒,臺北市萬華區西寧南路 / 臺北市萬華區漢口街2段,108,死亡0;受傷1,租賃車-小客車;普通重型-機車;大型重型2(250-550C.C.)-機車;乘客-人,121.506795,25.045699
108年03月13日 15時55分00秒,臺北市松山區三民路前0.0公尺,105,死亡0;受傷1,自用-小客車;普通重型-機車,121.56386599999999,25.054201000000003
108年03月13日 15時55分00秒,臺北市士林區中山北路6段 / 臺北市士林區中山北路6段,111,死亡0;受傷2,普通重型-機車;普通重型-機車,121.52668200000001,25.115434
108年03月13日 17時00分00秒,臺北市大安區仁愛路3段 / 臺北市大安區建國南路1段,106,死亡0;受傷1,自用-小客車;普通輕型-機車,121.537683,25.038073
108年03月13日 17時09分00秒,臺北市萬華區萬大路493巷48弄26號前0.0公尺,108,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.49913899999999,25.019137
108年03月13日 17時13分00秒,臺北市中正區青島東路 / 臺北市中正區林森南路,100,死亡0;受傷2,普通重型-機車;普通重型-機車,121.523,25.04362
108年03月13日 17時36分00秒,臺北市萬華區華江橋往台北市前0.0公尺,108,死亡0;受傷1,普通重型-機車;普通重型-機車,121.489494,25.033929999999998
108年03月13日 17時43分00秒,臺北市文山區萬慶街 / 臺北市文山區萬慶街,116,死亡0;受傷2,普通重型-機車;普通重型-機車,121.54,24.992378
108年03月13日 17時46分00秒,臺北市北投區明德路2-1號前0.0公尺,112,死亡0;受傷2,普通重型-機車;普通重型-機車,121.516947,25.106427
108年03月13日 17時56分00秒,臺北市內湖區基湖路 / 臺北市內湖區基湖路,114,死亡0;受傷1,普通重型-機車,121.564797,25.079982
108年03月13日 18時12分00秒,臺北市萬華區萬大路 / 臺北市萬華區環河南路3段,108,死亡0;受傷1,自用-小客車;普通重型-機車,121.49558200000001,25.016820000000003
108年03月13日 18時22分00秒,臺北市士林區基河路 / 臺北市士林區福德路,111,死亡0;受傷1,自用-小客車;普通重型-機車,121.52091200000001,25.092177
108年03月13日 18時34分00秒,臺北市士林區堤外平面停車場旁,111,死亡0;受傷1,普通重型-機車;行人-人,121.511555,25.090522
108年03月13日 18時40分00秒,臺北市內湖區康寧路3段75巷100號前0.0公尺,114,死亡0;受傷1,普通重型-機車;自用-小客車,121.61083,25.076285000000002
108年03月13日 19時14分00秒,臺北市文山區景福街 / 臺北市文山區景福街,116,死亡0;受傷1,自用-小客車;腳踏自行車-慢車,121.53808500000001,24.999655999999998
108年03月13日 19時17分00秒,臺北市大安區基隆路4段前0.0公尺,106,死亡0;受傷1,普通重型-機車;自用-小客車,121.538102,25.012091
108年03月13日 19時22分00秒,臺北市士林區福林橋前0.0公尺,111,死亡0;受傷1,普通重型-機車;自用-小客車,121.52618600000001,25.101426
108年03月13日 20時32分00秒,臺北市松山區敦化北路 / 臺北市松山區民權東路3段,105,死亡0;受傷1,計程車-小客車;普通重型-機車,121.5494,25.060614
108年03月13日 20時40分00秒,臺北市士林區士東路 / 臺北市士林區士東路,111,死亡0;受傷2,普通重型-機車;電動自行車-慢車,121.537348,25.113429
108年03月13日 20時40分00秒,臺北市信義區基隆路1段 / 臺北市信義區市民大道5段,110,死亡0;受傷2,普通重型-機車;普通重型-機車;普通重型-機車,121.567295,25.045823000000002
108年03月13日 21時02分00秒,臺北市內湖區港華街109巷6號前0.0公尺,114,死亡0;受傷1,普通重型-機車,121.57330300000001,25.084298999999998
108年03月13日 21時13分00秒,臺北市萬華區大理街116巷前0.0公尺,108,死亡0;受傷1,普通重型-機車;普通輕型-機車,121.497477,25.033951000000002
108年03月13日 21時45分00秒,臺北市南港區國道3號 15公里300.0公尺處南側向內側,115,死亡0;受傷1,自用-小貨車(含客、貨兩用);自用-小客車,121.62425900000001,25.041102
108年03月13日 22時10分00秒,臺北市信義區崇德街 / 臺北市信義區崇德街,110,死亡0;受傷1,自用-小客車;普通重型-機車,121.55376499999998,25.024372
108年03月13日 23時10分00秒,臺北市萬華區和平西路3段 / 臺北市萬華區和平西路3段,108,死亡0;受傷1,普通重型-機車;普通重型-機車,121.49311499999999,25.034907
108年03月14日 05時10分00秒,臺北市內湖區內湖路1段 / 臺北市內湖區內湖路1段,114,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.579035,25.080342
108年03月14日 06時20分00秒,臺北市大安區辛亥路3段157巷前0.0公尺,106,死亡0;受傷1,自用-小客車;普通重型-機車,121.549163,25.017155
108年03月14日 07時00分00秒,臺北市南港區南港路2段前0.0公尺,115,死亡0;受傷2,普通重型-機車;普通重型-機車,121.604129,25.053895999999998
108年03月14日 07時15分00秒,臺北市南港區松河街 / 臺北市南港區南港路3段,115,死亡0;受傷1,自用-小客車;普通重型-機車,121.58458999999999,25.053279
108年03月14日 07時27分00秒,臺北市萬華區和平西路3段 / 臺北市萬華區和平西路3段,108,死亡0;受傷1,普通重型-機車;普通重型-機車,121.495025,25.035239
108年03月14日 07時40分00秒,臺北市松山區民生東路5段 / 臺北市松山區光復北路,105,死亡0;受傷1,計程車-小客車;普通重型-機車,121.55523000000001,25.058316
108年03月14日 08時04分00秒,臺北市文山區辛亥路5段95號前0.0公尺,116,死亡0;受傷1,自用-小客車;普通重型-機車,121.552501,24.997569
108年03月14日 08時07分00秒,臺北市北投區中央北路4段 / 臺北市北投區學園路,112,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車,121.465976,25.126601
108年03月14日 08時07分00秒,臺北市文山區羅斯福路5段 / 臺北市文山區羅斯福路5段,116,死亡0;受傷1,普通重型-機車;計程車-小客車;自用-小客車,121.538959,25.002266
108年03月14日 08時35分00秒,臺北市大安區忠孝東路4段 / 臺北市大安區復興南路1段,106,死亡0;受傷1,普通輕型-機車;自用-小客車,121.54388999999999,25.041764999999998
108年03月14日 08時35分00秒,臺北市信義區虎林街 / 臺北市信義區虎林街,110,死亡0;受傷1,營業用-小貨車(含客、貨兩用);普通重型-機車,121.57765400000001,25.0365
108年03月14日 08時50分00秒,臺北市中山區民權東路3段37號前0.0公尺,104,死亡0;受傷1,營業用-小貨車(含客、貨兩用);行人-人,121.542523,25.062604999999998
108年03月14日 08時53分00秒,臺北市松山區八德路4段前0.0公尺,105,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,121.577573,25.050020999999997
108年03月14日 08時55分00秒,臺北市南港區舊莊街1段 / 臺北市南港區舊莊街1段,115,死亡0;受傷1,普通重型-機車;普通重型-機車,121.61932,25.040758
108年03月14日 09時06分00秒,臺北市信義區信義路4段 / 臺北市信義區無名巷,110,死亡0;受傷1,自用-小客車;普通重型-機車,121.559106,25.033251999999997
108年03月14日 09時10分00秒,臺北市大同區民權西路 / 臺北市大同區民權西路,103,死亡0;受傷2,普通重型-機車;普通重型-機車,121.51122,25.062788
108年03月14日 09時11分00秒,臺北市士林區通河街 / 臺北市士林區通河街,111,死亡0;受傷2,普通重型-機車;普通重型-機車,121.52310700000001,25.078813
108年03月14日 10時22分00秒,臺北市信義區信安街66號前0.0公尺,110,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.557529,25.026235999999997
108年03月14日 10時35分00秒,臺北市內湖區瑞湖街 / 臺北市內湖區舊宗路2段,114,死亡0;受傷1,自用-小客車;普通重型-機車,121.57644499999999,25.068988
108年03月14日 10時57分00秒,臺北市萬華區華江橋往台北市前0.0公尺,108,死亡0;受傷1,普通重型-機車;普通重型-機車,121.493027,25.035285000000002
108年03月14日 11時06分00秒,臺北市內湖區內湖路1段 / 臺北市內湖區內湖路1段,114,死亡0;受傷1,民營公車-大客車;乘客-人,121.577694,25.0792
108年03月14日 11時10分00秒,臺北市松山區光復北路 / 臺北市松山區光復北路,105,死亡0;受傷1,自用-小客車;行人-人,121.55588600000002,25.054633
108年03月14日 11時47分00秒,臺北市大安區基隆路4段 / 臺北市大安區羅斯福路4段,106,死亡0;受傷1,自用-小客車;普通重型-機車,121.53743100000001,25.011189
108年03月14日 12時13分00秒,臺北市松山區光復南路58巷26-1號前0.0公尺,105,死亡0;受傷1,普通輕型-機車;自用-小客車,121.555434,25.045454
108年03月14日 13時04分00秒,臺北市內湖區新湖二路128號前0.0公尺,114,死亡0;受傷1,普通重型-機車;普通重型-機車,121.57883899999999,25.062268
108年03月14日 14時30分00秒,臺北市文山區興隆路3段 / 臺北市文山區興隆路3段,116,死亡0;受傷3,普通輕型-機車;普通重型-機車;乘客-人,121.55728899999998,24.998649
108年03月14日 14時36分00秒,臺北市信義區松德路133巷前0.0公尺,110,死亡0;受傷1,自用-小客車;普通重型-機車,121.575347,25.036992
108年03月14日 14時47分00秒,臺北市萬華區忠孝西路2段 / 臺北市萬華區忠孝西路2段,108,死亡0;受傷1,營業用-小貨車(含客、貨兩用);普通重型-機車,121.508471,25.047881
108年03月14日 15時15分00秒,臺北市內湖區金龍路 / 臺北市內湖區金龍路,114,死亡0;受傷1,普通重型-機車;租賃車-小客車,121.586933,25.088237
108年03月14日 15時30分00秒,臺北市中山區北安路 / 臺北市中山區北安路,104,死亡0;受傷1,自用-小客車;普通重型-機車,121.553285,25.085442
108年03月14日 15時40分00秒,臺北市中山區新生北路1段51號前0.0公尺,104,死亡0;受傷1,普通重型-機車;計程車-小客車,121.530014,25.048054999999998
108年03月14日 15時51分00秒,臺北市中山區中山北路2段 / 臺北市中山區民權東路1段,104,死亡0;受傷2,普通重型-機車;普通重型-機車,121.52258700000002,25.062901999999998
108年03月14日 16時30分00秒,臺北市南港區昆陽街 / 臺北市南港區南港路3段,115,死亡0;受傷2,普通重型-機車;行人-人,121.592317,25.054091
108年03月14日 16時40分00秒,臺北市松山區撫遠街234號前0.0公尺,105,死亡0;受傷1,普通重型-機車;民營公車-大客車;計程車-小客車,121.567843,25.059808
108年03月14日 16時45分00秒,臺北市中正區汀州路3段 / 臺北市中正區汀州路3段,100,死亡0;受傷1,普通重型-機車;普通重型-機車;乘客-人,121.53308100000001,25.014464999999998
108年03月14日 16時54分00秒,臺北市文山區育英街 / 臺北市文山區羅斯福路6段,116,死亡0;受傷1,自用-小客車;普通重型-機車,121.538374,24.991766000000002
108年03月14日 17時10分00秒,臺北市北投區明德路 / 臺北市北投區榮華三路,112,死亡0;受傷1,自用-小客車;普通重型-機車,121.52091200000001,25.115302
108年03月14日 17時30分00秒,臺北市南港區市民大道8段 / 臺北市南港區興中路,115,死亡0;受傷1,自用-小客車;普通重型-機車,121.607712,25.053396
108年03月14日 17時32分18秒,臺北市文山區國道3號 19公里100.0公尺處北側向內側,116,死亡0;受傷1,自用-小客車;自用-小客車;自用-小客車,121.600594,25.021434
108年03月14日 18時28分00秒,臺北市萬華區德昌街 / 臺北市萬華區德昌街,108,死亡0;受傷1,普通重型-機車;自用-小客車,121.492566,25.022693
108年03月14日 18時35分00秒,臺北市內湖區金湖路 / 臺北市內湖區康寧路1段,114,死亡0;受傷1,計程車-小客車;普通重型-機車,121.599616,25.078748
108年03月14日 19時06分00秒,臺北市大安區和平東路2段 / 臺北市大安區建國南路2段,106,死亡0;受傷1,租賃車-小客車;腳踏自行車-慢車,121.53788999999999,25.025371
108年03月14日 19時10分00秒,臺北市大安區信義路4段117號前0.0公尺,106,死亡0;受傷1,計程車-小客車;普通重型-機車,121.54854499999999,25.033371
108年03月14日 19時10分00秒,臺北市南港區南港路3段 / 臺北市南港區中坡北路,115,死亡0;受傷2,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,121.580178,25.051466
108年03月14日 20時54分00秒,臺北市文山區羅斯福路6段185號前0.0公尺,116,死亡0;受傷1,普通重型-機車;自用-小客車,121.541149,24.996415
108年03月14日 21時27分00秒,臺北市大安區信義路4段138號前0.0公尺,106,死亡0;受傷1,普通重型-機車,121.54999199999999,25.033046
108年03月14日 21時28分00秒,臺北市北投區東華街2段前0.0公尺,112,死亡0;受傷2,普通重型-機車;普通重型-機車,121.50278700000001,25.121928
108年03月14日 21時51分00秒,臺北市中山區松江路 / 臺北市中山區松江路,104,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,121.533032,25.047564
108年03月14日 22時00分00秒,臺北市松山區三民路 / 臺北市松山區民生東路5段,105,死亡0;受傷1,租賃車-小客車;腳踏自行車-慢車,121.56351000000001,25.059282
108年03月14日 22時06分00秒,臺北市中山區中山北路2段77巷4號前0.0公尺,104,死亡0;受傷1,自用-小客車;自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車,121.523315,25.057458999999998
108年03月14日 22時10分00秒,臺北市中正區衡陽路34號前0.0公尺,100,死亡0;受傷1,自用-小客車;普通重型-機車,121.51259399999999,25.042329000000002
108年03月14日 22時47分00秒,臺北市文山區景文街 / 臺北市文山區羅斯福路6段,116,死亡0;受傷1,自用-小客車;普通重型-機車,121.54092,24.989703
108年03月14日 23時31分00秒,臺北市信義區和平東路3段 / 臺北市信義區嘉興街,110,死亡0;受傷1,自用-小客車;計程車-小客車,121.55394299999999,25.022965
108年03月15日 00時00分00秒,臺北市南港區研究院路2段 / 臺北市南港區舊莊街1段,115,死亡0;受傷1,自用-小客車;自用-小貨車(含客、貨兩用),121.61684299999999,25.042294000000002
108年03月15日 00時36分00秒,臺北市中山區中山北路2段 / 臺北市中山區民權東路1段,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.522456,25.062873
108年03月15日 03時12分00秒,臺北市中山區復興北路 / 臺北市中山區濱江街,104,死亡0;受傷2,普通重型-機車;營業用-大貨車;乘客-人,121.54440100000001,25.072167999999998
108年03月15日 07時10分00秒,臺北市萬華區萬大路7號前0.0公尺,108,死亡0;受傷1,普通重型-機車,121.50054899999999,25.032536999999998
108年03月15日 07時20分00秒,臺北市內湖區安康路414巷前0.0公尺,114,死亡0;受傷1,自用-小客車;普通重型-機車;自用-小客車;自用-小客車,121.61555700000001,25.066237
108年03月15日 07時25分00秒,臺北市松山區南京東路5段282號前0.0公尺,105,死亡0;受傷1,計程車-小客車;普通重型-機車,121.567416,25.051389999999998
108年03月15日 07時26分00秒,臺北市北投區大度路1段2號前0.0公尺,112,死亡0;受傷1,自用-小客車;普通重型-機車,121.49888700000001,25.121285
108年03月15日 07時43分00秒,臺北市文山區景華街 / 臺北市文山區景華街,116,死亡0;受傷3,普通重型-機車;自用-小客車;乘客-人;乘客-人,121.546356,24.996667000000002
108年03月15日 07時48分00秒,臺北市內湖區星雲街 / 臺北市內湖區康寧路1段,114,死亡0;受傷3,自用-小客車;普通重型-機車;乘客-人;乘客-人,121.59484099999999,25.079288000000002
108年03月15日 07時55分00秒,臺北市中山區南京東路2段前0.0公尺,104,死亡0;受傷1,自用-小客車;普通重型-機車,121.529376,25.052173
108年03月15日 08時14分00秒,臺北市萬華區艋舺大道 / 臺北市萬華區萬大路,108,死亡0;受傷1,普通重型-機車;自用-小客車,121.500514,25.032873000000002
108年03月15日 08時15分00秒,臺北市內湖區民權大橋前0.0公尺,114,死亡0;受傷1,普通重型-機車;普通重型-機車,121.573719,25.065246
108年03月15日 08時16分00秒,臺北市北投區承德路7段385號前0.0公尺,112,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.501717,25.119151000000002
108年03月15日 08時17分00秒,臺北市文山區溪洲街 / 臺北市文山區汀州路4段,116,死亡0;受傷1,自用-小客車;普通重型-機車,121.536124,25.00595
108年03月15日 08時30分00秒,臺北市中山區南京東路3段 / 臺北市中山區龍江路,104,死亡0;受傷2,普通重型-機車;計程車-小客車;普通重型-機車,121.54045,25.051851
108年03月15日 08時40分00秒,臺北市中山區基湖路 / 臺北市中山區基湖路,104,死亡0;受傷1,自用-小客車;普通重型-機車,121.56385900000001,25.078345000000002
108年03月15日 08時41分00秒,臺北市松山區八德路4段50號前0.0公尺,105,死亡0;受傷2,普通重型-機車;普通重型-機車,121.559574,25.048271
108年03月15日 08時46分00秒,臺北市南港區中南街46-1號前0.0公尺,115,死亡0;受傷2,普通重型-機車;行人-人,121.61513000000001,25.054
108年03月15日 08時51分00秒,臺北市北投區承德路7段 / 臺北市北投區承德路6段,112,死亡0;受傷1,普通重型-機車;普通重型-機車,121.510977,25.111036
108年03月15日 08時53分00秒,臺北市大安區復興南路1段 / 臺北市大安區復興南路1段,106,死亡0;受傷1,普通重型-機車;普通輕型-機車,121.543732,25.034379
108年03月15日 09時00分00秒,臺北市萬華區青年路 / 臺北市萬華區水源路,108,死亡0;受傷1,普通重型-機車,121.50417,25.019932
108年03月15日 09時07分00秒,臺北市北投區東華街2段338號前0.0公尺,112,死亡0;受傷1,自用-小客車;普通重型-機車,121.50561699999999,25.121137
108年03月15日 09時19分00秒,臺北市士林區忠誠路1段 / 臺北市士林區德行東路,111,死亡0;受傷1,自用-小客車;普通重型-機車,121.53041699999999,25.10843
108年03月15日 09時20分00秒,臺北市中正區中華路1段 / 臺北市中正區中華路1段,100,死亡0;受傷1,計程車-小客車;普通重型-機車,121.51001799999999,25.046874
108年03月15日 09時25分00秒,臺北市中山區中山北路2段 / 臺北市中山區民生東路1段,104,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.52263899999998,25.057893
108年03月15日 09時45分00秒,臺北市中山區新生北路3段83號前0.0公尺,104,死亡0;受傷1,普通重型-機車,121.528016,25.067128
108年03月15日 10時04分00秒,臺北市士林區忠誠路2段前0.0公尺,111,死亡0;受傷1,計程車-小客車;行人-人,121.53136699999999,25.111857
108年03月15日 10時07分00秒,臺北市中正區重慶南路3段 / 臺北市中正區和平西路1段,100,死亡0;受傷1,計程車-小客車;普通重型-機車,121.516006,25.027279999999998
108年03月15日 10時23分00秒,臺北市大同區民生西路402號前0.0公尺,103,死亡0;受傷1,普通重型-機車;自用-小客車,121.509239,25.056759
108年03月15日 10時24分00秒,臺北市信義區林口街174號前0.0公尺,110,死亡0;受傷2,普通重型-機車;普通重型-機車,121.580694,25.040519
108年03月15日 10時50分00秒,臺北市大安區行人穿越道,106,死亡0;受傷1,自用-小貨車(含客、貨兩用);行人-人,121.554053,25.041677
108年03月15日 11時00分00秒,臺北市文山區木新路3段前0.0公尺,116,死亡0;受傷1,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用),121.55488600000001,24.980221
108年03月15日 11時24分00秒,臺北市文山區木新路3段172巷2弄1號前0.0公尺,116,死亡0;受傷1,普通重型-機車;普通重型-機車;乘客-人,121.56059199999999,24.982217000000002
108年03月15日 11時28分00秒,臺北市北投區洲美街271號前0.0公尺,112,死亡0;受傷1,自用-小客車;自用-大貨車;自用-小客車,121.498732,25.107853
108年03月15日 11時48分00秒,臺北市士林區文昌國小停車場口,111,死亡0;受傷1,計程車-小客車;行人-人,121.52192099999999,25.0993
108年03月15日 13時01分00秒,臺北市大安區忠孝東路4段57號前0.0公尺,106,死亡0;受傷1,普通重型-機車;租賃車-小客車,121.545643,25.04184
108年03月15日 13時24分00秒,臺北市中山區錦州街209號前0.0公尺,104,死亡0;受傷1,行人-人,121.531874,25.060351
108年03月15日 13時55分00秒,臺北市信義區忠孝東路5段 / 臺北市信義區忠孝東路5段,110,死亡0;受傷1,普通重型-機車;自用-小客車;計程車-小客車,121.574037,25.040976
108年03月15日 14時14分00秒,臺北市大安區市民大道4段 / 臺北市大安區光復南路,106,死亡0;受傷1,自用-小客車;普通重型-機車,121.55769599999999,25.04522
108年03月15日 14時50分00秒,臺北市中正區林森南路 / 臺北市中正區林森南路,100,死亡0;受傷2,普通重型-機車;普通重型-機車,121.522815,25.043020000000002
108年03月15日 15時31分00秒,臺北市中正區牯嶺街 / 臺北市中正區和平西路1段,100,死亡0;受傷1,計程車-小客車;普通重型-機車,121.518983,25.026482
108年03月15日 15時40分00秒,臺北市內湖區東湖路 / 臺北市內湖區東湖路,114,死亡0;受傷1,自用-小客車;普通重型-機車,121.612862,25.068719
