發生時間,發生地點,postcode,死亡受傷人數,車種,經度,緯度
108年07月08日 08時10分00秒,臺北市士林區中山北路5段 / 臺北市士林區雙溪街,111,死亡0;受傷3,普通重型-機車;大型重型2(250-550C.C.)-機車;乘客-人,121.526652,25.100981
108年07月08日 08時11分00秒,臺北市北投區承德路6段前0.0公尺,112,死亡0;受傷2,普通重型-機車;普通重型-機車;普通重型-機車,121.511812,25.105636999999998
108年07月08日 08時13分00秒,臺北市大安區和平東路3段 / 臺北市大安區樂利路,106,死亡0;受傷2,腳踏自行車-慢車;大型重型2(250-550C.C.)-機車,121.55099299999999,25.026889
108年07月08日 08時27分00秒,臺北市大安區和平東路3段 / 臺北市大安區基隆路2段,106,死亡0;受傷2,普通重型-機車;行人-人,121.552769,25.024006
108年07月08日 08時29分00秒,臺北市南港區南港路3段50巷前0.0公尺,115,死亡0;受傷1,計程車-小客車;普通重型-機車,121.59148,25.053993
108年07月08日 08時30分00秒,臺北市南港區南港路2段142號前0.0公尺,115,死亡0;受傷1,計程車-小客車;普通重型-機車,121.600799,25.053565
108年07月08日 08時34分00秒,臺北市文山區木新路3段 / 臺北市文山區木新路3段,116,死亡0;受傷2,普通重型-機車;普通重型-機車,121.563501,24.982792
108年07月08日 08時45分00秒,臺北市信義區忠孝東路5段 / 臺北市信義區忠孝東路5段,110,死亡0;受傷2,普通重型-機車;普通重型-機車,121.57921999999999,25.041581
108年07月08日 08時55分00秒,臺北市大同區延平北路4段 / 臺北市大同區敦煌路,103,死亡0;受傷2,普通重型-機車;普通重型-機車,121.51204299999999,25.076564
108年07月08日 09時08分00秒,臺北市大同區重慶北路3段 / 臺北市大同區重慶北路3段,103,死亡0;受傷1,普通重型-機車;自用-小客車,121.512285,25.070567
108年07月08日 09時10分00秒,臺北市內湖區瑞光路 / 臺北市內湖區瑞光路,114,死亡0;受傷1,自用-小客車;普通重型-機車,121.583627,25.06961
108年07月08日 10時38分00秒,臺北市中正區惠安街7號前0.0公尺,100,死亡0;受傷2,普通重型-機車;行人-人,121.50761999999999,25.028458999999998
108年07月08日 10時44分00秒,臺北市信義區忠孝東路4段 / 臺北市信義區逸仙路,110,死亡0;受傷2,腳踏自行車-慢車;普通重型-機車,121.561498,25.041315
108年07月08日 11時55分00秒,臺北市文山區木新路3段74巷前0.0公尺,116,死亡0;受傷2,普通重型-機車;普通重型-機車,121.563346,24.982860000000002
108年07月08日 12時10分00秒,臺北市中山區中山北路3段 / 臺北市中山區民族東路,104,死亡0;受傷3,民營客運-大客車;行人-人;行人-人;行人-人,121.522869,25.068468
108年07月08日 13時20分00秒,臺北市內湖區內湖路3段 / 臺北市內湖區內湖路2段,114,死亡0;受傷1,普通重型-機車;計程車-小客車,121.59234,25.084355
108年07月08日 13時31分00秒,臺北市文山區羅斯福路6段210號前0.0公尺,116,死亡0;受傷1,普通輕型-機車;租賃車-小客車,121.5409,24.993425
108年07月08日 13時44分00秒,臺北市信義區信義路5段18號前0.0公尺,110,死亡0;受傷1,普通重型-機車;自用-小客車,121.563506,25.032853
108年07月08日 14時07分00秒,臺北市中山區人行道,104,死亡0;受傷1,租賃車-小客車;腳踏自行車-慢車,121.531213,25.051961
108年07月08日 14時22分00秒,臺北市北投區石牌路2段90巷前0.0公尺,112,死亡0;受傷1,計程車-小客車;普通重型-機車,121.5175,25.117110999999998
108年07月08日 15時23分00秒,臺北市中山區龍江路 / 臺北市中山區龍江路,104,死亡0;受傷2,腳踏自行車-慢車;普通重型-機車,121.54078500000001,25.061863
108年07月08日 15時58分00秒,臺北市信義區信義路4段前0.0公尺,110,死亡0;受傷3,自用-小客車;民營公車-大客車;乘客-人;乘客-人;乘客-人,121.55753600000001,25.033151999999998
108年07月08日 16時05分00秒,臺北市萬華區自行車道(路燈004號),108,死亡0;受傷2,腳踏自行車-慢車;腳踏自行車-慢車,121.48820400000001,25.030927
108年07月08日 16時14分00秒,臺北市信義區吳興街 / 臺北市信義區吳興街,110,死亡0;受傷3,計程車-小客車;普通重型-機車;乘客-人;行人-人,121.561175,25.026616
108年07月08日 16時21分00秒,臺北市大安區敦化南路1段209號前0.0公尺,106,死亡0;受傷1,自用-小客車;普通重型-機車,121.54935900000001,25.041872
108年07月08日 16時30分00秒,臺北市信義區忠孝東路5段 / 臺北市信義區大道路,110,死亡0;受傷1,自用-小客車;行人-人,121.58190400000001,25.041930999999998
108年07月08日 16時39分00秒,臺北市士林區承德路4段 / 臺北市士林區通河街,111,死亡0;受傷3,自用-小客車;普通重型-機車;乘客-人;乘客-人,121.522247,25.080177
108年07月08日 17時10分00秒,臺北市大安區市民大道3段 / 臺北市大安區復興南路1段,106,死亡0;受傷1,普通重型-機車;普通重型-機車,121.543772,25.044749
108年07月08日 17時10分00秒,臺北市中正區重慶南路1段 / 臺北市中正區漢口街1段,100,死亡0;受傷2,普通重型-機車;普通重型-機車,121.513224,25.045161
108年07月08日 17時22分00秒,臺北市萬華區西園路2段 / 臺北市萬華區東園街,108,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,121.49553,25.02842
108年07月08日 17時25分00秒,臺北市松山區八德路4段 / 臺北市松山區八德路4段,105,死亡0;受傷1,自用-小客車;普通重型-機車,121.56484099999999,25.04896
108年07月08日 17時28分00秒,臺北市北投區泉源路14號前0.0公尺,112,死亡0;受傷1,自用-小客車;普通重型-機車,121.503635,25.137273
108年07月08日 17時50分00秒,臺北市大安區和平東路1段8號前0.0公尺,106,死亡0;受傷1,自用-小客車;普通重型-機車,121.522888,25.026945
108年07月08日 17時50分00秒,臺北市文山區木柵路5段5號前0.0公尺,116,死亡0;受傷2,腳踏自行車-慢車;普通重型-機車,121.580876,25.001991
