city,name,code
花蓮縣,豐濱,977
花蓮縣,瑞穗,978
花蓮縣,萬榮,979
花蓮縣,玉里,981
花蓮縣,卓溪,982
花蓮縣,富里,983
金門縣,金沙,890
金門縣,金湖,891
金門縣,金寧,892
金門縣,金城,893
金門縣,烈嶼,894
金門縣,烏坵,896
連江縣,南竿,209
連江縣,北竿,210
連江縣,莒光,211
連江縣,東引,212
